Heilbronn,,Wollhausstraße,14-18,14-18,6-12,1-3,80-92,14-20,20-25,18-22,37-57,,2013,
Heilbronn,,Wollhausstraße ab Nr. 90,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
Heilbronn,,Wormser Straße,10,10,6-7,1-2,55-60,11-12,9-10,8-9,91-92,,2013,
Heilbronn,,Würzburger Straße,14,14,7,2,70,17,16,13,35,,2013,
Heilbronn,,Wüstenroter Straße,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
Heilbronn,,Wunnensteinstraße,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
Heilbronn,,Zabergäustraße,14,14,7,2,70,17,16,13,35,,2013,
Heilbronn,,Zehentgasse,14-18,14-18,6-12,1-3,80-92,14-20,20-25,18-22,37-57,,2013,
Heilbronn,,Zeisigstraße,14-18,14-18,6-12,1-3,80-92,14-20,20-25,18-22,37-57,,2013,
Heilbronn,,Zellerstraße,14,14,7,2,70,17,16,13,35,,2013,
Heilbronn,,Zeppelinstraße,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
Heilbronn,,Ziegeleistraße,14-18,14-18,6-12,1-3,80-92,14-20,20-25,18-22,37-57,,2013,
Heilbronn,,Ziegeleistraße ab Nr. 17+20,10,10,6-7,1-2,55-60,11-12,9-10,8-9,91-92,,2013,
Heilbronn,,Ziegeleiweg,14,14,7,2,70,17,16,13,35,,2013,
Heilbronn,,Zieglerstraße,14-18,14-18,6-12,1-3,80-92,14-20,20-25,18-22,37-57,,2013,
Heilbronn,,Ziemssenstraße,14,14,7,2,70,17,16,13,35,,2013,
Heilbronn,,Zückwolfstraße,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
Heilbronn,,Zügelstraße,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
Heilbronn,,Zweite Hohl,14,14,7,2,70,17,16,13,35,,2013,
Heilbronn,,Zwirnereistraße,9,9,5-6,1-2,48-52,7-9,8-9,5-7,32,,2013,
